x,y,R
1.149614469,-6.499513393,0.3
1.162383846,-6.464222646,0.3
1.176497368,-6.399176955,0.3
1.189938817,-6.328249472,0.3
1.203380266,-6.2936507,0.3
1.216821716,-6.279811191,0.3
1.230263165,-6.260781867,0.3
1.243704614,-6.229642972,0.3
1.257146064,-6.176014876,0.3
1.270587513,-6.08432813,0.3
1.284252986,-5.986759593,0.3
1.296798339,-5.924481803,0.3
1.310911861,-5.876735498,0.3
1.32435331,-5.847326542,0.3
1.33779476,-5.828297217,0.3
1.350116088,-5.772939182,0.3
1.364677658,-5.693362006,0.3
1.378119108,-5.650113542,0.3
1.391560557,-5.610324954,0.3
1.405002006,-5.582645936,0.3
1.418443456,-5.556696857,0.3
1.431884905,-5.52901784,0.3
1.447566596,-5.423491585,0.3
1.461008045,-5.390622752,0.3
1.474449495,-5.357753918,0.3
1.487890944,-5.312775515,0.3
1.501332393,-5.226278585,0.3
1.514773843,-5.150161287,0.3
1.528215292,-5.065394295,0.3
1.541656741,-4.971977611,0.3
1.555098191,-4.901050128,0.3
1.56853964,-4.838772339,0.3
1.581981089,-4.776494549,0.3
1.595422539,-4.707297005,0.3
1.607743867,-4.600040812,0.3
1.01004742,-9.625858429,-1
1.009599372,-9.793316485,-1
1.012287661,-9.289558365,-1
1.010719492,-9.436949134,-1
1.014975951,-9.04459906,-1
1.018560338,-8.900668168,-1
1.028641425,-8.784762282,-1
1.042082874,-8.682695905,-1
1.053284082,-8.499322413,-1
1.066725531,-8.395526098,-1
1.080166981,-8.291729782,-1
1.09360843,-8.196583159,-1
1.107049879,-8.097976659,-1
1.120491329,-8.00974979,-1
1.133932778,-7.933632492,-1
1.147374227,-7.869624764,-1
1.160815677,-7.817726606,-1
1.174257126,-7.786587711,-1
1.187698575,-7.772748202,-1
1.201140025,-7.748529062,-1
1.214581474,-7.658572255,-1
1.228022923,-7.611863912,-1
1.241464373,-7.584184895,-1
1.254905822,-7.508067596,-1
1.268347271,-7.438870053,-1
1.281788721,-7.404271281,-1
1.29523017,-7.36794257,-1
1.308671619,-7.328153982,-1
1.322113069,-7.277985763,-1
1.335554518,-7.224357666,-1
1.348995967,-7.174189447,-1
1.362437417,-7.12056135,-1
1.375878866,-7.073853008,-1
1.389320315,-7.044444052,-1
1.402761765,-7.020224912,-1
1.416203214,-6.989086017,-1
1.429644663,-6.956217183,-1
1.443086113,-6.926808227,-1
1.456527562,-6.895669333,-1
1.469969011,-6.871450192,-1
1.483410461,-6.831661604,-1
1.49685191,-6.759004183,-1
1.510293359,-6.717485657,-1
1.523734809,-6.675967131,-1
1.537176258,-6.617149218,-1
1.550617707,-6.55314149,-1
1.564059157,-6.499513393,-1
1.577500606,-6.444155358,-1
1.590942055,-6.404366771,-1
1.603263384,-6.34381892,-1
1.613120447,-6.213035562,-1
1.618945075,-6.067720719,-1
1.631266403,-5.992641384,-1
1.644707853,-5.952852796,-1
1.658149302,-5.907874393,-1
1.671590751,-5.862895989,-1
1.685032201,-5.805808015,-1
1.69847365,-5.752179919,-1
1.7119151,-5.696821884,-1
1.725356549,-5.638003971,-1
1.738797998,-5.596485445,-1
1.752239448,-5.556696857,-1
1.765680897,-5.511718454,-1
1.779122346,-5.458090357,-1
1.792563796,-5.390622752,-1
1.806005245,-5.333534778,-1
1.819446694,-5.323155146,-1
1.832888144,-5.30585576,-1
1.846329593,-5.252227664,-1
1.859771042,-5.186489997,-1
1.873212492,-5.139781655,-1
1.886653941,-5.09653319,-1
1.90009539,-5.027335646,-1
1.91353684,-4.968517734,-1
1.926978289,-4.918349514,-1
1.940419738,-4.847422032,-1
1.953861188,-4.752275409,-1
1.967302637,-4.662318602,-1
